ProductKey,BrandKey,SupplierKey,ProductCategory_Lvl1,ProductCategory_Lvl2,Margin,Elasticity
49333,3521,1028407101,Category A,Category AC,39%,1.99
49329,3521,1028407101,Category A,Category AC,24%,2.18
49334,3521,1028407101,Category A,Category AC,24%,1.86
49340,3521,1036290101,Category A,Category AA,23%,2.2
49341,3521,1036290101,Category A,Category AA,26%,2.29
49326,3521,1039040125,Category A,Category AC,22%,2.23
49621,3521,1036290101,Category A,Category AA,29%,1.64
49327,3521,1039040125,Category A,Category AC,24%,2.08
26844,3521,1036290101,Category A,Category AB,20%,1.88
49328,3521,1028407101,Category A,Category AC,32%,1.74
58921,3521,1039040101,Category A,Category AA,36%,1.32
26841,3521,1036290101,Category A,Category AB,32%,1.32
98193,1713,1049688101,Category A,Category AA,26%,2.12
49169,3521,1036290101,Category A,Category AB,24%,2.17
95792,2435,1098896101,Category A,Category AB,21%,1.28
49325,3521,1039040118,Category A,Category AC,27%,2.24
49492,3521,1036290101,Category A,Category AB,29%,1.92
96971,3521,1036290101,Category A,Category AA,39%,1.82
82315,3521,1039040101,Category A,Category AC,31%,1.74
95818,3521,1098896101,Category A,Category AB,34%,1.49
49330,3521,1028407101,Category A,Category AC,32%,1.71
62008,3521,1099576101,Category A,Category AA,27%,2.02
49489,3521,1036290101,Category A,Category AB,27%,1.66
89922,3521,1036290101,Category A,Category AA,28%,1.57
52107,3521,1039040101,Category A,Category AA,26%,1.55
49490,3521,1036290101,Category A,Category AB,22%,2.05
95816,3521,1098896101,Category A,Category AB,34%,1.43
78907,3521,1039040101,Category A,Category AE,38%,2.14
95144,1713,1049688101,Category A,Category AA,27%,1.68
39983,3521,1036290101,Category A,Category AA,36%,1.17
62330,3521,1049637115,Category A,Category AB,29%,1.71
49331,3521,1028407101,Category A,Category AC,39%,1.5
52108,3521,1039040101,Category A,Category AA,28%,1.86
75906,1713,1049688101,Category A,Category AA,38%,1.65
49332,3521,1028407101,Category A,Category AC,24%,1.51
78906,3521,1039040101,Category A,Category AE,22%,1.66
49963,3521,1039040101,Category A,Category AC,36%,1.9
40432,3521,1039040101,Category A,Category AC,23%,1.6
86513,3521,1036290101,Category A,Category AB,38%,1.75
95821,3521,1098896101,Category A,Category AB,31%,1.24
73604,3521,1039040101,Category A,Category AC,22%,1.6
59736,3521,1039040101,Category A,Category AC,39%,1.86
78208,3521,1028407101,Category A,Category AC,34%,1.71
78905,3521,1039040101,Category A,Category AE,22%,1.79
49493,3521,1036290101,Category A,Category AB,35%,1.1
87723,3521,1049637115,Category A,Category AB,37%,1.88
14397,3521,1098896101,Category A,Category AB,34%,1.51
49495,3521,1036290101,Category A,Category AB,25%,1.07
72598,3521,1039040125,Category A,Category AC,29%,1.79
95822,3521,1098896101,Category A,Category AB,21%,1.53
88531,3521,1039040101,Category A,Category AB,22%,1.65
62331,3521,1098896101,Category A,Category AB,21%,1.1
52446,3521,1036290101,Category A,Category AA,22%,1.48
14412,3521,1049637115,Category A,Category AB,21%,1.18
14435,3521,1098896101,Category A,Category AB,23%,1.12
94310,3521,1036290101,Category A,Category AB,25%,1.73
78909,3521,1039040101,Category A,Category AE,24%,1.19
95843,3521,1098896101,Category A,Category AB,34%,1.65
85818,3521,1039040101,Category A,Category AC,23%,1.38
95835,3521,1098896101,Category A,Category AB,22%,1.43
25136,2435,1039040101,Category A,Category AD,28%,1.13
35304,3521,1039040101,Category A,Category AB,36%,1.6
52530,3521,1099576101,Category A,Category AA,37%,1.15
43632,3521,1036290101,Category A,Category AB,32%,1.26
78206,3521,1039040101,Category A,Category AC,36%,0.8
52138,3521,1039040101,Category A,Category AA,40%,1.69
78912,3521,1039040101,Category A,Category AE,31%,0.89
94311,3521,1036290101,Category A,Category AB,35%,1.35
81294,3521,1039040101,Category A,Category AB,39%,1.45
78911,3521,1039040101,Category A,Category AE,25%,1.24
36488,2435,1099576101,Category A,Category AD,36%,1.25
78207,3521,1039040101,Category A,Category AC,23%,1
97438,3521,1039040101,Category A,Category AC,21%,1.55
78908,3521,1039040101,Category A,Category AE,23%,1.36
78910,3521,1039040101,Category A,Category AE,26%,1.24
73607,3521,1039040101,Category A,Category AA,30%,1.5
96762,3521,1039040125,Category A,Category AC,34%,1.16
88530,3521,1039040101,Category A,Category AB,38%,1.4
69898,1713,1049688101,Category A,Category AA,28%,1.02
65856,3521,1036290101,Category A,Category AD,38%,1.2
89815,3521,1039040101,Category A,Category AE,27%,1.08
88528,3521,1039040101,Category A,Category AB,28%,1.21
88527,3521,1039040101,Category A,Category AB,25%,1.25
72113,1713,1049688101,Category A,Category AA,38%,1.45
59511,3521,1039040101,Category A,Category AB,27%,0.6
39982,3521,1036290101,Category A,Category AA,34%,1.1
18570,3521,1039040101,Category A,Category AB,32%,1.4
14654,3521,1099576101,Category A,Category AA,36%,1.06
78914,3521,1039040101,Category A,Category AE,32%,1.02
78913,3521,1039040101,Category A,Category AE,25%,0.93
73277,2968,1049637115,Category A,Category AC,29%,0.76
82314,3521,1039040101,Category A,Category AC,37%,1.5
